Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
ACIO,1750,0,0.00,0,0.00,29.79,1750,0
IBML,1738,0,0.00,0,0.00,25.35,1738,0
IBHB,1701,0,0.00,0,0.00,23.99,1701,0
HEGD,1669,0,0.00,0,0.00,17.51,1669,0
NURE,1663,0,0.00,0,0.00,34.94,1663,0
PTMC,1659,0,0.00,0,0.00,34.53,1659,0
IGLD,1615,0,0.00,0,0.00,20.02,1615,0
IYLD,1615,0,0.00,0,0.00,20.72,1515,100
PJAN,1582,0,0.00,0,0.00,31.01,1582,0
PBUS,1581,0,0.00,0,0.00,40.77,1581,0
NUDM,1570,0,0.00,0,0.00,26.84,1570,0
FOCT,1550,0,0.00,0,0.00,32.76,1550,0
TOKE,1539,0,0.00,0,0.00,9.74,1539,0
BALT,1500,0,0.00,0,0.00,25.67,1500,0
FFSG,1470,0,0.00,0,0.00,32.94,1470,0
FLBL,1430,0,0.00,0,0.00,23.96,1430,0
JPIB,1422,0,0.00,0,0.00,46.65,1422,0
ADME,1419,0,0.00,0,0.00,37.27,1419,0
IBHG,1400,0,0.00,0,0.00,22.16,1000,400
DDLS,1399,0,0.00,0,0.00,32.14,1399,0
MRGR,1302,0,0.00,0,0.00,39.98,1302,0
FLHY,1295,0,0.00,0,0.00,23.03,1295,0
BJAN,1276,0,0.00,0,0.00,33.85,1276,0
XBTF,1267,0,0.00,0,0.00,29.28,1267,0
RULE,1240,0,0.00,0,0.00,21.37,1240,0
STOT,1213,0,0.00,0,0.00,46.89,1213,0
HFGO,1200,0,0.00,0,0.00,12.67,1200,0
PSMB,1186,0,0.00,0,0.00,15.32,986,200
FPRO,1147,0,0.00,0,0.00,23.51,1147,0
PEX,1144,0,0.00,0,0.00,29.34,1074,70
IBHE,1125,0,0.00,0,0.00,23.12,1125,0
DOCT,1115,0,0.00,0,0.00,31.24,1115,0
BUFB,1100,0,0.00,0,0.00,23.38,1100,0
AVDR,1099,0,0.00,0,0.00,26.40,1099,0
TDV,1098,0,0.00,0,0.00,58.14,1098,0
DINT,1096,0,0.00,0,0.00,16.07,1096,0
IETC,1083,0,0.00,0,0.00,46.05,1083,0
LEAD,1082,0,0.00,0,0.00,51.51,1082,0
OBND,1061,0,0.00,0,0.00,26.82,1061,0
FJAN,1060,0,0.00,0,0.00,32.80,1060,0
